I,0.2,0.5,0
intend,0.5,1.0,0
increasing,1.0,1.5,0
that,1.5,1.6,0
to,1.6,1.8,0
5,1.8,2.2,0
lb,2.2,2.5,0
because,2.5,2.9,0
STUTTER,2.9,3.2600000000000002,5
suit,3.2600000000000002,3.66,0
me,3.66,3.66,0
most,3.66,4.16,0
admirably,4.16,4.76,0
thank,4.76,6.16,0
you,6.16,6.26,0
STUTTER,6.26,6.979999999999999,5
the,6.979999999999999,7.079999999999998,0
girl,7.079999999999998,7.2799999999999985,0
quietly,7.2799999999999985,7.879999999999999,0
but,7.879999999999999,8.479999999999999,0
I,8.479999999999999,8.579999999999998,0
am,8.579999999999998,8.78,0
already,8.78,8.979999999999999,0
being,8.979999999999999,9.379999999999999,0
paid,9.379999999999999,9.879999999999999,0
quite,9.879999999999999,10.079999999999998,0
sufficient,10.079999999999998,10.979999999999999,0
she,10.979999999999999,11.78,0
left,11.78,12.079999999999998,0
him,12.079999999999998,12.28,0
a,12.28,12.579999999999998,0
little,12.579999999999998,12.879999999999999,0
astonished,12.879999999999999,13.179999999999998,0
and,13.179999999999998,13.78,0
not,13.78,14.179999999999998,0
a,14.179999999999998,14.379999999999999,0
little,14.379999999999999,14.679999999999998,0
ruffled,14.679999999999998,15.179999999999998,0
